"RC-PAIN RELIEVERS - PAST YEAR MISUSE","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","268562000","N/A","1593000"
"0 - Did not misuse in the past year","Overall","0.955","0.0008","0.954","0.957","1","0","N/A","N/A","0.955","0.0008","0.954","0.957","256591000","N/A","1549000"
"1 - Misused within the past year","Overall","0.045","0.0008","0.043","0.046","1","0","N/A","N/A","0.045","0.0008","0.043","0.046","11971000","N/A","224000"
"Overall","AK","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","583000","N/A","24000"
"0 - Did not misuse in the past year","AK","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","0.954","0.0049","0.943","0.962","556000","N/A","24000"
"1 - Misused within the past year","AK","0","0","0","0","0.002","0.0002","0.002","0.003","0.046","0.0049","0.038","0.057","27000","N/A","3000"
"Overall","AL","0.015","0.0006","0.014","0.016","0.015","0.0006","0.014","0.016","1","0","N/A","N/A","4061000","N/A","170000"
"0 - Did not misuse in the past year","AL","0.014","0.0006","0.013","0.016","0.015","0.0006","0.014","0.016","0.947","0.0057","0.935","0.957","3846000","N/A","168000"
"1 - Misused within the past year","AL","0.001","0.0001","0.001","0.001","0.018","0.0019","0.015","0.022","0.053","0.0057","0.043","0.065","215000","N/A","23000"
"Overall","AR","0.009","0.0004","0.008","0.01","0.009","0.0004","0.008","0.01","1","0","N/A","N/A","2463000","N/A","112000"
"0 - Did not misuse in the past year","AR","0.009","0.0004","0.008","0.01","0.009","0.0004","0.008","0.01","0.952","0.0053","0.941","0.962","2345000","N/A","111000"
"1 - Misused within the past year","AR","0","0","0","0.001","0.01","0.0011","0.008","0.012","0.048","0.0053","0.038","0.059","117000","N/A","13000"
"Overall","AZ","0.021","0.0008","0.02","0.023","0.021","0.0008","0.02","0.023","1","0","N/A","N/A","5694000","N/A","227000"
"0 - Did not misuse in the past year","AZ","0.02","0.0008","0.019","0.022","0.021","0.0008","0.02","0.023","0.953","0.0057","0.94","0.963","5424000","N/A","219000"
"1 - Misused within the past year","AZ","0.001","0.0001","0.001","0.001","0.023","0.0028","0.018","0.029","0.047","0.0057","0.037","0.06","270000","N/A","34000"
"Overall","CA","0.121","0.0023","0.117","0.126","0.121","0.0023","0.117","0.126","1","0","N/A","N/A","32623000","N/A","689000"
"0 - Did not misuse in the past year","CA","0.116","0.0022","0.111","0.12","0.121","0.0024","0.116","0.126","0.952","0.0028","0.946","0.957","31052000","N/A","660000"
"1 - Misused within the past year","CA","0.006","0.0004","0.005","0.007","0.131","0.0073","0.118","0.146","0.048","0.0028","0.043","0.054","1571000","N/A","97000"
