"RC-PAIN RELIEVERS - PAST YEAR MISUSE","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"1 - Misused within the past year","MO","0.001","0.0001","0.001","0.001","0.019","0.0027","0.014","0.025","0.041","0.0058","0.031","0.054","209000","N/A","31000"
"Overall","MS","0.009","0.0004","0.008","0.01","0.009","0.0004","0.008","0.01","1","0","N/A","N/A","2448000","N/A","104000"
"0 - Did not misuse in the past year","MS","0.009","0.0004","0.008","0.009","0.009","0.0004","0.008","0.01","0.96","0.0051","0.949","0.969","2351000","N/A","101000"
"1 - Misused within the past year","MS","0","0","0","0","0.009","0.0011","0.007","0.011","0.04","0.0051","0.031","0.051","97000","N/A","13000"
"Overall","MT","0.003","0.0001","0.003","0.003","0.003","0.0001","0.003","0.003","1","0","N/A","N/A","878000","N/A","32000"
"0 - Did not misuse in the past year","MT","0.003","0.0001","0.003","0.003","0.003","0.0001","0.003","0.003","0.956","0.0057","0.943","0.966","840000","N/A","31000"
"1 - Misused within the past year","MT","0","0","0","0","0.003","0.0005","0.003","0.004","0.044","0.0057","0.034","0.057","39000","N/A","5000"
"Overall","NC","0.031","0.001","0.03","0.033","0.031","0.001","0.03","0.033","1","0","N/A","N/A","8489000","N/A","265000"
"0 - Did not misuse in the past year","NC","0.03","0.0009","0.028","0.032","0.031","0.001","0.029","0.033","0.958","0.0042","0.948","0.965","8128000","N/A","254000"
"1 - Misused within the past year","NC","0.001","0.0001","0.001","0.002","0.032","0.0033","0.026","0.039","0.042","0.0042","0.035","0.052","360000","N/A","38000"
"Overall","ND","0.002","0.0001","0.002","0.003","0.002","0.0001","0.002","0.003","1","0","N/A","N/A","616000","N/A","29000"
"0 - Did not misuse in the past year","ND","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.003","0.968","0.0051","0.957","0.977","597000","N/A","28000"
"1 - Misused within the past year","ND","0","0","0","0","0.002","0.0003","0.001","0.002","0.032","0.0051","0.023","0.043","19000","N/A","3000"
"Overall","NE","0.006","0.0002","0.005","0.006","0.006","0.0002","0.005","0.006","1","0","N/A","N/A","1564000","N/A","57000"
"0 - Did not misuse in the past year","NE","0.006","0.0002","0.005","0.006","0.006","0.0002","0.005","0.006","0.971","0.0042","0.962","0.978","1519000","N/A","54000"
"1 - Misused within the past year","NE","0","0","0","0","0.004","0.0006","0.003","0.005","0.029","0.0042","0.022","0.038","45000","N/A","7000"
"Overall","NH","0.004","0.0002","0.004","0.005","0.004","0.0002","0.004","0.005","1","0","N/A","N/A","1158000","N/A","45000"
